STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws
Alabama,1991,7,1,1,0,0,0,3,0,0,0,0,1,1,1,15
Alaska,1991,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
Arizona,1991,0,0,3,0,0,1,6,0,0,0,0,0,1,1,12
Arkansas,1991,0,0,3,0,0,1,6,0,0,0,0,3,1,1,15
California,1991,12,5,7,11,0,5,5,4,4,0,2,2,1,0,58
Colorado,1991,1,0,0,0,0,1,2,0,0,0,0,3,1,1,9
Connecticut,1991,10,1,0,0,0,3,4,0,4,0,0,3,1,1,27
Delaware,1991,3,1,4,0,0,0,3,0,0,0,0,0,1,0,12
Florida,1991,1,0,1,0,0,5,4,0,3,2,0,0,1,1,18
Georgia,1991,2,1,1,0,0,1,2,0,0,0,0,3,1,1,12
Hawaii,1991,6,9,8,2,1,3,2,0,0,0,5,3,1,1,41
Idaho,1991,0,0,0,0,0,0,2,0,0,0,0,2,1,0,5
Illinois,1991,5,5,4,6,3,7,6,0,0,0,0,3,1,1,41
Indiana,1991,1,0,0,0,0,1,3,0,0,0,0,3,1,1,10
Iowa,1991,0,4,1,3,2,1,4,0,2,0,0,0,1,1,19
Kansas,1991,0,0,1,0,0,1,6,0,0,0,0,3,1,1,13
Kentucky,1991,0,0,1,0,0,0,6,0,0,0,0,0,1,0,8
Louisiana,1991,0,1,0,0,0,1,6,0,0,0,0,0,1,1,10
Maine,1991,2,0,2,0,0,1,2,0,0,0,0,0,1,1,9
Maryland,1991,4,1,3,0,0,2,5,0,0,0,0,0,1,1,17
Massachusetts,1991,12,7,5,6,5,6,4,0,0,5,0,3,1,1,55
Michigan,1991,6,6,0,3,0,1,6,0,0,0,0,0,1,1,24
Minnesota,1991,1,1,4,0,0,1,6,0,0,0,0,0,1,1,15
Mississippi,1991,0,0,1,0,0,2,3,0,0,0,0,0,1,1,8
Missouri,1991,0,3,1,3,0,1,6,0,0,0,0,0,1,1,16
Montana,1991,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3
Nebraska,1991,0,3,1,2,0,0,6,0,0,1,0,3,1,1,18
Nevada,1991,0,0,1,0,0,1,3,0,2,0,0,0,1,0,8
New Hampshire,1991,1,0,0,0,0,0,1,0,0,0,0,3,1,1,7
New Jersey,1991,8,7,4,5,0,6,6,5,0,0,0,3,1,1,46
New Mexico,1991,0,0,1,0,0,1,6,0,0,0,0,0,1,1,10
New York,1991,4,5,5,1,1,5,6,0,0,0,2,3,1,1,34
North Carolina,1991,3,2,0,0,0,3,6,0,0,0,0,3,1,1,19
North Dakota,1991,0,0,4,0,0,2,3,0,0,2,0,0,1,1,13
Ohio,1991,0,3,2,0,0,0,6,0,0,2,0,3,1,1,18
Oklahoma,1991,0,1,1,0,0,0,6,0,0,0,0,0,1,1,10
Oregon,1991,3,2,4,0,0,1,4,0,0,0,0,0,1,1,16
Pennsylvania,1991,7,3,0,0,0,1,3,0,0,0,1,0,1,1,17
Rhode Island,1991,8,8,5,9,2,2,3,0,0,0,0,0,1,1,39
South Carolina,1991,4,2,1,0,0,6,6,0,0,0,0,0,1,1,21
South Dakota,1991,0,0,1,0,0,1,2,0,0,0,0,0,1,1,6
Tennessee,1991,1,2,0,0,0,7,6,0,0,0,0,0,1,1,18
Texas,1991,0,1,0,0,0,5,5,0,0,0,0,0,1,1,13
Utah,1991,0,0,0,0,0,4,6,0,0,0,0,0,1,1,12
Vermont,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
