case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude
Nashville religious school shooting,2023-03-27,2023,March,Nashville, Tennessee,6,1,6,School,Mass,28.0,Unknown,36.162663,-86.781601
Michigan State University shooting,2023-02-13,2023,February,East Lansing, Michigan,3,5,8,School,Mass,43.0,Black,42.74688,-84.483704
Half Moon Bay spree shooting,2023-01-23,2023,January,Half Moon Bay, California,7,1,8,Workplace,Spree,67.0,Asian,37.463551,-122.42858899999999
LA dance studio mass shooting,2023-01-21,2023,January,Monterey Park, California,11,10,21,Other,Mass,72.0,Asian,34.059818,-118.122803
Virginia Walmart shooting,2022-11-22,2022,November,Chesapeake, Virginia,6,6,12,Workplace,Mass,31.0,Black,36.714588,-76.249931
LGBTQ club shooting,2022-11-19,2022,November,Colorado Springs, Colorado,5,25,30,Other,Mass,22.0,White,38.8339578,-104.82534799999999
University of Virginia shooting,2022-11-13,2022,November,Charlottesville, Virginia,3,2,5,School,Mass,22.0,Black,38.029306,-78.4766781
Raleigh spree shooting,2022-10-13,2022,October,Hedingham, North Carolina,5,2,7,Other,Spree,15.0,White,35.814032399999995,-78.5398635
Greenwood Park Mall shooting,2022-07-17,2022,July,Greenwood, Indiana,3,2,5,Workplace,Mass,20.0,White,39.6136578,-86.10665259999999
Highland Park July 4 parade shooting,2022-07-04,2022,July,Highland Park, Illinois,7,46,53,Other,Mass,21.0,White,42.1816919,-87.8003438
Church potluck dinner shooting,2022-06-16,2022,June,Birmingham, Alabama,3,0,3,Other,Mass,70.0,White,33.5206824,-86.80243259999999
Concrete company shooting,2022-06-09,2022,June,Smithsburg, Maryland,3,1,4,Workplace,Mass,23.0,Unknown,39.6548186,-77.5727681
Tulsa medical center shooting,2022-06-01,2022,June,Tulsa, Oklahoma,4,8,4,Workplace,Mass,45.0,Black,36.1563122,-95.99275159999999
Robb Elementary School massacre,2022-05-24,2022,May,Uvalde, Texas,21,17,38,School,Mass,18.0,Latino,29.300357,-99.7733181
Buffalo supermarket massacre,2022-05-14,2022,May,Buffalo, New York,10,3,13,Workplace,Mass,18.0,White,42.8867166,-78.87839220000001
Sacramento County church shooting,2022-02-28,2022,February,Sacramento, California,4,0,4,Other,Mass,,Unknown,38.60111019,-121.4189659
Oxford High School shooting,2021-11-30,2021,November,Oxford, Michigan,4,7,11,School,Mass,15.0,Unknown,42.84410784,-83.25992831
San Jose VTA shooting,2021-05-26,2021,May,San Jose, California,9,0,9,Workplace,Mass,57.0,Unknown,37.316097,-121.88853300000001
FedEx warehouse shooting,2021-04-15,2021,April,Indianapolis, Indiana,8,7,15,Workplace,Mass,19.0,White,39.68663,-86.32313
Orange office complex shooting,2021-03-31,2021,March,Orange, California,4,1,5,Workplace,Mass,44.0,Unknown,33.83542,-117.85378999999999
Boulder supermarket shooting,2021-03-22,2021,March,Boulder, Colorado,10,0,10,Workplace,Mass,21.0,Unknown,39.986961,-105.25116799999999
Atlanta massage parlor shootings,2021-03-16,2021,March,Atlanta, Georgia,8,1,9,Workplace,Spree,21.0,White,34.111653000000004,-84.580376
Springfield convenience store shooting,2020-03-16,2020,March,Springfield, Missouri,4,0,4,Workplace,Mass,31.0,Unknown,37.210432,-93.23686
Molson Coors shooting,2020-02-26,2020,February,Milwaukee, Wisconsin,5,0,5,Workplace,Mass,51.0,Black,43.044511,-87.962537
Jersey City kosher market shooting,2019-12-10,2019,December,Jersey City, New Jersey,4,3,7,Other,Spree,,Black,40.707363,-74.083609
Pensacola Naval base shooting,2019-12-06,2019,December,Pensacola, Florida,3,8,11,Other,Mass,21.0,Unknown,30.364707,-87.288567
Odessa-Midland shooting spree,2019-08-31,2019,August,Odessa, Texas,7,25,32,Other,Spree,36.0,White,31.925974,-102.2796
Dayton entertainment district shooting,2019-08-04,2019,August,Dayton, Ohio,9,27,36,Other,Mass,24.0,White,39.757312,-84.184947
El Paso Walmart mass shooting,2019-08-03,2019,August,El Paso, Texas,22,26,48,Workplace,Mass,21.0,White,31.771068,-106.37565500000001
Gilroy garlic festival shooting,2019-07-28,2019,July,Gilroy, California,3,12,15,Other,Mass,19.0,Unknown,36.997191,-121.584819
Virginia Beach municipal building shooting,2019-05-31,2019,May,Virginia Beach, Virginia,12,4,16,Workplace,Mass,40.0,Black,36.75442,-76.060378
Harry Pratt Co. warehouse shooting,2019-02-15,2019,February,Aurora, Illinois,5,6,11,Workplace,Mass,45.0,Black,41.753725,-88.331057
Pennsylvania hotel bar shooting,2019-01-24,2019,January,State College, Pennsylvania,3,1,4,Other,Spree,21.0,White,40.785142,-77.839411
SunTrust bank shooting,2019-01-23,2019,January,Sebring, Florida,5,0,5,Workplace,Mass,21.0,White,27.471042999999998,-81.45846999999999
Mercy Hospital shooting,2018-11-19,2018,November,Chicago, Illinois,3,0,3,Workplace,Mass,32.0,Latino,41.847667,-87.62200899999999
Thousand Oaks nightclub shooting,2018-11-07,2018,November,Thousand Oaks, California,12,22,34,Other,Mass,28.0,Unknown,34.176946,-118.874793
Tree of Life synagogue shooting,2018-10-27,2018,October,Pittsburgh, Pennsylvania,11,6,17,Other,Mass,46.0,White,40.443898,-79.921398
Rite Aid warehouse shooting,2018-09-20,2018,September,Perryman, Maryland,3,3,6,Workplace,Mass,26.0,Black,39.455658,-76.208485
