case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude,STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws,Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
Nashville religious school shooting,2023-03-27,2023,March,Nashville,Tennessee,6,1,6,School,Mass,28.0,Unknown,36.162663,-86.781601,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State University shooting,2023-02-13,2023,February,East Lansing,Michigan,3,5,8,School,Mass,43.0,Black,42.74688,-84.483704,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half Moon Bay spree shooting,2023-01-23,2023,January,Half Moon Bay,California,7,1,8,Workplace,Spree,67.0,Asian,37.463551,-122.428589,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA dance studio mass shooting,2023-01-21,2023,January,Monterey Park,California,11,10,21,Other,Mass,72.0,Asian,34.059818,-118.122803,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Walmart shooting,2022-11-22,2022,November,Chesapeake,Virginia,6,6,12,Workplace,Mass,31.0,Black,36.714588,-76.249931,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGBTQ club shooting,2022-11-19,2022,November,Colorado Springs,Colorado,5,25,30,Other,Mass,22.0,White,38.8339578,-104.825348,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Virginia shooting,2022-11-13,2022,November,Charlottesville,Virginia,3,2,5,School,Mass,22.0,Black,38.029306,-78.4766781,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raleigh spree shooting,2022-10-13,2022,October,Hedingham,North Carolina,5,2,7,Other,Spree,15.0,White,35.81403239999999,-78.5398635,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood Park Mall shooting,2022-07-17,2022,July,Greenwood,Indiana,3,2,5,Workplace,Mass,20.0,White,39.6136578,-86.10665259999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Park July 4 parade shooting,2022-07-04,2022,July,Highland Park,Illinois,7,46,53,Other,Mass,21.0,White,42.1816919,-87.8003438,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church potluck dinner shooting,2022-06-16,2022,June,Birmingham,Alabama,3,0,3,Other,Mass,70.0,White,33.5206824,-86.80243259999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete company shooting,2022-06-09,2022,June,Smithsburg,Maryland,3,1,4,Workplace,Mass,23.0,Unknown,39.6548186,-77.5727681,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa medical center shooting,2022-06-01,2022,June,Tulsa,Oklahoma,4,8,4,Workplace,Mass,45.0,Black,36.1563122,-95.9927516,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robb Elementary School massacre,2022-05-24,2022,May,Uvalde,Texas,21,17,38,School,Mass,18.0,Latino,29.300357,-99.7733181,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo supermarket massacre,2022-05-14,2022,May,Buffalo,New York,10,3,13,Workplace,Mass,18.0,White,42.8867166,-78.87839220000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento County church shooting,2022-02-28,2022,February,Sacramento,California,4,0,4,Other,Mass,,Unknown,38.60111019,-121.4189659,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford High School shooting,2021-11-30,2021,November,Oxford,Michigan,4,7,11,School,Mass,15.0,Unknown,42.84410784,-83.25992831,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose VTA shooting,2021-05-26,2021,May,San Jose,California,9,0,9,Workplace,Mass,57.0,Unknown,37.316097,-121.888533,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx warehouse shooting,2021-04-15,2021,April,Indianapolis,Indiana,8,7,15,Workplace,Mass,19.0,White,39.68663,-86.32313,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange office complex shooting,2021-03-31,2021,March,Orange,California,4,1,5,Workplace,Mass,44.0,Unknown,33.83542,-117.85379,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder supermarket shooting,2021-03-22,2021,March,Boulder,Colorado,10,0,10,Workplace,Mass,21.0,Unknown,39.986961,-105.251168,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta massage parlor shootings,2021-03-16,2021,March,Atlanta,Georgia,8,1,9,Workplace,Spree,21.0,White,34.111653000000004,-84.580376,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield convenience store shooting,2020-03-16,2020,March,Springfield,Missouri,4,0,4,Workplace,Mass,31.0,Unknown,37.210432,-93.23686,,,,,,,,,,,,,,,,,,2020.0,Missouri,6124160.0,772992.0,38.7,138673.0,57290.0,31839.0,12.62,2.26
Molson Coors shooting,2020-02-26,2020,February,Milwaukee,Wisconsin,5,0,5,Workplace,Mass,51.0,Black,43.044511,-87.962537,,,,,,,,,,,,,,,,,,2020.0,Wisconsin,5806975.0,620947.0,39.6,109854.0,63293.0,34450.0,10.69,1.89
