,county_Abbr,county_code,state,Area name,county,Abbr,deaths_per_100K_mean (1999-2020),deaths_per_100K_std (1999-2020),deaths_per_100K_numb_years (1999-2020),growth_rate_gun_laws (1991-2017),avg_pop (2010-2019),avg_murder (2002-2014),avg_rape (2002-2014),avg_robbery (2002-2014),avg_agasslt (2002-2014),avg_burglry (2002-2014),avg_larceny (2002-2014),avg_mvtheft (2002-2014),avg_arson (2002-2014),Poverty % overall (2014),Poverty % ages 0-17 (2014),Poverty % related kids age 5-17 (2014),"Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014",avg_unemp_rate_2010_2015,% white pop avg (2010-2019),% black pop avg (2010-2019),% asian pop avg (2010-2019),% indian pop avg (2010-2019),% pacific pop avg (2010-2019),% two pop avg (2010-2019),% not hisp pop avg (2010-2019),% hisp pop avg (2010-2019),chain restaurants per 100K,places of worship per 100K,name,lng,lat
0,"Autauga, AL - 1001",1001,Alabama,Autauga County,Autauga,AL,21.971571428571426,3.7960152290326246,7.0,-1.282051282051282,55127.1,1.3076923076923077,18.307692307692307,33.76923076923077,87.53846153846153,332.2307692307692,1161.5384615384614,99.15384615384616,13.461538461538462,13.1,18.1,17.4,13.832693953026245,33.502608119669915,30.72337372008942,21.941324207214418,6.916666666666668,77.88945908636586,18.76681341844574,1.073881992704133,0.48215850280533534,0.0926948814648331,1.6949921182140906,97.3546585980398,2.6453414019601973,105.211,110.653,Autauga,-86.64289976,32.53514228
1,"Baldwin, AL - 1003",1003,Alabama,Baldwin County,Baldwin,AL,13.911000000000001,3.0448432440689586,22.0,-1.282051282051282,123611.65,4.230769230769231,43.0,60.92307692307692,235.46153846153845,797.8461538461538,2943.769230769231,158.84615384615384,6.384615384615385,13.0,19.8,18.7,10.966705936203262,28.815085505038756,31.593717874642635,28.62449068411535,7.466666666666668,81.38059802615692,15.25980763140044,1.0708942077870491,0.6755835716131935,0.0641120800507072,1.549004482991692,95.9421300500398,4.057869949960218,511.279,122.966,Baldwin,-87.72274477,30.72782468
2,"Barbour, AL - 1005",1005,Alabama,Barbour County,Barbour,AL,0.0,0.0,0.0,-1.282051282051282,21472.95,0.6153846153846154,5.384615384615385,10.461538461538462,34.76923076923077,88.84615384615384,347.15384615384613,20.76923076923077,0.46153846153846156,25.4,38.1,37.0,25.430027606710553,33.44659163304311,27.51645784667658,13.606922913569761,10.85,68.10289224349705,29.60771575400678,0.3744245667223181,0.5884147264348867,0.11409703836687553,1.2124556709720835,96.93428243441167,3.065717565588333,228.194,121.083,Barbour,-85.39106787,31.87009042
3,"Bibb, AL - 1007",1007,Alabama,Bibb County,Bibb,AL,0.0,0.0,0.0,-1.282051282051282,88479.35,0.3076923076923077,2.769230769230769,4.769230769230769,32.84615384615385,82.92307692307692,186.15384615384616,22.23076923076923,0.3076923076923077,18.1,26.8,25.2,22.10036345087037,40.062488044379265,27.596760823821974,10.240387680928393,8.700000000000001,46.39319796088014,50.11265340443843,1.7440227578525382,0.2937408559172281,0.1164678537986547,1.3399171671130041,96.98093396933861,3.0190660306613912,19.214,50.859,Bibb,-87.12681433,32.99837607
4,"Blount, AL - 1009",1009,Alabama,Blount County,Blount,AL,20.78981818181818,3.371534897288825,11.0,-1.282051282051282,92353.3,0.6153846153846154,9.307692307692308,4.6923076923076925,58.61538461538461,262.84615384615387,611.0769230769231,77.3076923076923,2.5384615384615383,17.5,24.1,22.5,21.937416777629824,34.495032264672744,31.304414626651646,12.263136331045784,7.216666666666666,94.77398208834984,2.5256271297289863,0.6796183785527966,0.4781096073448377,0.07487550526077574,1.4677872907627556,95.07445862789959,4.925541372100401,60.637,102.866,Blount,-86.5670064,33.98087061
5,"Bullock, AL - 1011",1011,Alabama,Bullock County,Bullock,AL,0.0,0.0,0.0,-1.282051282051282,10464.7,0.23076923076923078,0.8461538461538461,4.0,24.153846153846153,59.92307692307692,60.61538461538461,2.1538461538461537,6.769230769230769,35.1,43.1,40.4,34.477550459975284,32.308114787862145,19.12673348894686,14.087601263215706,9.983333333333333,26.52823301193536,70.62792053283897,0.21118617829464773,0.8122545319024912,0.7272067044444656,1.0931990405840588,92.38774164572324,7.612258354276759,66.892,496.909,Bullock,-85.71572943,32.10045868
6,"Butler, AL - 1013",1013,Alabama,Butler County,Butler,AL,53.438,1.0337901140947272,2.0,-1.282051282051282,90777.69,1.5384615384615385,4.615384615384615,11.692307692307692,65.15384615384616,145.92307692307693,435.0769230769231,27.307692307692307,1.1538461538461537,25.0,36.7,35.3,23.41713553165729,37.13410725731786,25.126415497471687,14.322341713553167,10.683333333333332,89.32394071715198,6.353477379739449,2.0954928463149924,0.3385413310252772,0.07900619634626084,1.8095305134995174,96.6780934831014,3.321906516898591,37.454,19.829,Butler,-86.68040924,31.75252432
7,"Calhoun, AL - 1015",1015,Alabama,Calhoun County,Calhoun,AL,22.073636363636364,4.763028703766169,22.0,-1.282051282051282,31820.74,9.076923076923077,47.07692307692308,167.6153846153846,446.7692307692308,1459.2307692307693,3172.923076923077,246.0,19.0,20.5,28.1,25.4,19.924491845373538,32.408760979826354,30.761310333430792,16.90543684136932,9.066666666666668,79.11497344184956,16.42959906023556,1.5825213367130997,0.6245926398946096,0.07306555410087885,2.175216541161519,93.08834426854938,6.91165573145062,634.806,295.405,Calhoun,-85.82574705,33.77141549
8,"Chambers, AL - 1017",1017,Alabama,Chambers County,Chambers,AL,30.8165,2.7799811330295037,6.0,-1.282051282051282,36413.0,1.2307692307692308,10.461538461538462,19.384615384615383,110.38461538461539,236.69230769230768,701.9230769230769,52.69230769230769,3.0,21.3,31.6,30.2,22.53054027958524,37.29902187145795,27.95012803828555,12.220309810671257,9.583333333333334,73.96039875868509,22.87877955675171,1.1181446186801416,0.6905500782687501,0.07593441902617197,1.2761925685881417,87.63037926015433,12.36962073984566,142.806,156.538,Chambers,-85.39168915,32.91366622
9,"Cherokee, AL - 1019",1019,Alabama,Cherokee County,Cherokee,AL,43.946,0.0,1.0,-1.282051282051282,59561.8,0.6153846153846154,4.230769230769231,1.8461538461538463,40.30769230769231,135.0,309.15384615384613,30.0,3.6923076923076925,18.6,27.9,25.4,20.504094437945337,35.87684781452728,29.884079549080077,13.734978198447303,7.683333333333333,83.78415360180517,7.807655242118271,1.2043289490915319,4.395971914885044,0.09522882115718463,2.7126446816583782,90.98161909143109,9.018380908568915,62.12,117.525,Cherokee,-85.60387066,34.17588713
