"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2606261,"May 23, 2023",Kentucky,Louisville,"6300 Terry Rd",0,0,0,0,1,N/A
2605505,"May 22, 2023",Ohio,Columbus,"1500 E Broad St",0,0,0,0,2,N/A
2606091,"May 22, 2023",Michigan,Ypsilanti,"Concord Dr and Bedford Dr",0,0,0,0,0,N/A
2605863,"May 22, 2023",Utah,"Salt Lake City (Kearns)","5525 Cougar Ln",0,0,0,0,0,N/A
2606557,"May 22, 2023",California,"San Diego","3950 Byrd St",0,0,0,0,0,N/A
2605406,"May 22, 2023",Massachusetts,Danvers,"72 Spring St",0,0,0,0,0,N/A
2605147,"May 19, 2023",Louisiana,Garyville,"240 LA-54",0,0,0,0,3,N/A
2602748,"May 19, 2023",Arizona,Phoenix,"3535 N 27th Ave",0,0,0,0,1,N/A
2602735,"May 19, 2023",Virginia,Fredericksburg,"6320 Harrison Rd",0,0,0,0,1,N/A
2603051,"May 19, 2023",Alabama,Harvest,"2616 Jeff Rd NW",0,0,0,0,0,N/A
2602920,"May 18, 2023",Florida,"Saint Petersburg","850 34th St S",0,0,0,0,2,N/A
2602744,"May 18, 2023",Virginia,Norfolk,"730 Spotswood Ave",0,0,0,0,1,N/A
2601586,"May 18, 2023",Maryland,Cheltenham,"9400 Surratts Rd",0,0,0,0,1,N/A
2602362,"May 18, 2023",Illinois,"Pleasant Hill","501 E Quincy St",0,0,0,0,1,N/A
2603169,"May 18, 2023",Georgia,Marietta,"1171 Whitlock Ave NW",0,0,0,0,1,N/A
2600771,"May 17, 2023","District of Columbia",Washington,"4301 13th St NW",0,1,0,0,0,N/A
2602538,"May 17, 2023",Texas,"El Paso","7000 Dyer St",0,0,0,0,1,N/A
2601866,"May 17, 2023",Illinois,"El Paso","600 N Elm St",0,0,0,0,0,N/A
2602624,"May 17, 2023",California,"San Jose","2001 Cottle Ave",0,0,0,0,1,N/A
2602282,"May 17, 2023",Nevada,"North Las Vegas","3200 W Alexander Rd",0,0,0,0,1,N/A
2600877,"May 17, 2023",Louisiana,Shreveport,"3201 Line Ave",0,0,0,0,1,N/A
2601213,"May 16, 2023",Texas,Houston,"9400 Irvington Blvd",0,0,0,0,1,N/A
2601208,"May 16, 2023",Texas,"Corpus Christi","5225 Gollihar Rd",0,0,0,0,2,N/A
2600273,"May 16, 2023",Virginia,"Glen Allen","9500 Norfolk St",0,0,0,0,0,N/A
2599890,"May 16, 2023",Mississippi,"New Augusta","9899 US-98 E",0,0,0,0,0,N/A
2600061,"May 16, 2023",Nebraska,Omaha,"5105 Bedford Ave",0,0,0,0,1,N/A
2603652,"May 16, 2023","New Jersey",Paterson,"322 10th Ave",0,0,0,0,1,N/A
2601542,"May 15, 2023",Indiana,Indianapolis,"1635 W Michigan St",0,0,0,0,2,N/A
2599399,"May 15, 2023",Oklahoma,"Oklahoma City","6708 S Santa Fe Ave",0,0,0,0,1,N/A
2596672,"May 12, 2023","South Carolina",Bennettsville,"301 Jefferson St",0,0,0,0,0,N/A
2597548,"May 12, 2023",Nebraska,Chadron,"1000 Main St",0,0,0,0,1,N/A
2598506,"May 12, 2023",Georgia,Loganville,"50 Hope Holw Rd",0,0,0,0,2,N/A
2596876,"May 12, 2023",Tennessee,"Lenoir City","1485 Old Hwy 95",0,1,0,0,0,N/A
2596869,"May 12, 2023",Kentucky,Waddy,"8300 Frankfort Rd",0,0,0,0,1,N/A
2602947,"May 12, 2023",Washington,Toppenish,N/A,0,0,0,0,1,N/A
2600371,"May 12, 2023",Alabama,Cordova,"110 School Rd",0,0,0,0,0,N/A
2595630,"May 11, 2023",Texas,Odessa,"1800 E 42nd St",0,0,0,0,1,N/A
2596514,"May 11, 2023",Pennsylvania,Reading,"1000 N Front St",0,0,0,0,1,N/A
